name,weight,measure,protein-gm,protein-unit,protein-value,fat-gm,fat-unit,fat-value,carb-gm,carb-unit,carb-value
"Fireweed, leaves, raw",23.0,"1.0 cup, chopped",4.71,g,1.08,2.75,g,0.63,19.22,g,4.42
Fish broth,244.0,1.0 cup,2.0,g,4.88,0.6,g,1.46,0.4,g,0.98
"Fish oil, cod liver",4.5,1.0 tsp,0.0,g,0.00,100.0,g,4.50,--,g,--
"Fish oil, herring",13.6,1.0 tbsp,0.0,g,0.00,100.0,g,13.60,--,g,--
"Fish oil, menhaden",13.6,1.0 tbsp,0.0,g,0.00,100.0,g,13.60,--,g,--
"Fish oil, menhaden, fully hydrogenated",12.5,1.0 tbsp,0.0,g,0.00,100.0,g,12.50,--,g,--
"Fish oil, salmon",13.6,1.0 tbsp,0.0,g,0.00,100.0,g,13.60,--,g,--
"Fish oil, sardine",13.6,1.0 tbsp,0.0,g,0.00,100.0,g,13.60,--,g,--
"Fish, anchovy, european, canned in oil, drained solids",28.35,"1.0 oz, boneless",28.89,g,8.19,9.71,g,2.75,0.0,g,0.00
"Fish, anchovy, european, raw",85.0,3.0 oz,20.35,g,17.30,4.84,g,4.11,0.0,g,0.00
"Fish, bass, fresh water, mixed species, raw",79.0,1.0 fillet,18.86,g,14.90,3.69,g,2.92,0.0,g,0.00
"Fish, bass, freshwater, mixed species, cooked, dry heat",62.0,1.0 fillet,24.18,g,14.99,4.73,g,2.93,0.0,g,0.00
"Fish, bass, striped, cooked, dry heat",124.0,1.0 fillet,22.73,g,28.19,2.99,g,3.71,0.0,g,0.00
"Fish, bass, striped, raw",85.0,3.0 oz,17.73,g,15.07,2.33,g,1.98,0.0,g,0.00
"Fish, bluefish, cooked, dry heat",117.0,1.0 fillet,25.69,g,30.06,5.44,g,6.36,0.0,g,0.00
"Fish, bluefish, raw",150.0,1.0 fillet,20.04,g,30.06,4.24,g,6.36,0.0,g,0.00
"Fish, burbot, cooked, dry heat",90.0,1.0 fillet,24.76,g,22.28,1.04,g,0.94,0.0,g,0.00
"Fish, burbot, raw",116.0,1.0 fillet,19.31,g,22.40,0.81,g,0.94,0.0,g,0.00
"Fish, butterfish, cooked, dry heat",25.0,1.0 fillet,22.15,g,5.54,10.28,g,2.57,0.0,g,0.00
"Fish, butterfish, raw",32.0,1.0 fillet,17.28,g,5.53,8.02,g,2.57,0.0,g,0.00
"Fish, carp, cooked, dry heat",85.0,3.0 oz,22.86,g,19.43,7.17,g,6.09,0.0,g,0.00
"Fish, carp, raw",85.0,3.0 oz,17.83,g,15.16,5.6,g,4.76,0.0,g,0.00
"Fish, catfish, channel, cooked, breaded and fried",87.0,1.0 fillet,18.09,g,15.74,13.33,g,11.60,8.04,g,6.99
"Fish, catfish, channel, farmed, cooked, dry heat",143.0,1.0 fillet,18.44,g,26.37,7.19,g,10.28,0.0,g,0.00
"Fish, catfish, channel, farmed, raw",85.0,3.0 oz,15.23,g,12.95,5.94,g,5.05,0.0,g,0.00
"Fish, catfish, channel, wild, cooked, dry heat",143.0,1.0 fillet,18.47,g,26.41,2.85,g,4.08,0.0,g,0.00
"Fish, catfish, channel, wild, raw",85.0,3.0 oz,16.38,g,13.92,2.82,g,2.40,0.0,g,0.00
"Fish, caviar, black and red, granular",16.0,1.0 tbsp,24.6,g,3.94,17.9,g,2.86,4.0,g,0.64
"Fish, cisco, raw",79.0,1.0 fillet,18.99,g,15.00,1.91,g,1.51,0.0,g,0.00
"Fish, cisco, smoked",28.35,1.0 oz,16.36,g,4.64,11.9,g,3.37,0.0,g,0.00
"Fish, cod, Atlantic, canned, solids and liquid",85.0,3.0 oz,22.76,g,19.35,0.86,g,0.73,0.0,g,0.00
"Fish, cod, Atlantic, cooked, dry heat",85.0,3.0 oz,22.83,g,19.41,0.86,g,0.73,0.0,g,0.00
"Fish, cod, Atlantic, dried and salted",28.35,1.0 oz,62.82,g,17.81,2.37,g,0.67,0.0,g,0.00
"Fish, cod, Atlantic, raw",85.0,3.0 oz,17.81,g,15.14,0.67,g,0.57,0.0,g,0.00
"Fish, cod, Pacific, cooked (not previously frozen)",85.0,3.0 oz,20.42,g,17.36,0.25,g,0.21,0.0,g,0.00
"Fish, cod, Pacific, cooked, dry heat (may have been previously frozen)",90.0,1.0 fillet,18.73,g,16.86,0.5,g,0.45,0.0,g,0.00
"Fish, cod, Pacific, raw (may have been previously frozen)",116.0,1.0 fillet,15.27,g,17.71,0.41,g,0.48,0.0,g,0.00
"Fish, cod, Pacific, raw (not previously frozen)",85.0,3.0 oz,17.54,g,14.91,0.2,g,0.17,0.0,g,0.00
"Fish, croaker, Atlantic, cooked, breaded and fried",87.0,1.0 fillet,18.2,g,15.83,12.67,g,11.02,7.54,g,6.56
"Fish, croaker, Atlantic, raw",79.0,1.0 fillet,17.78,g,14.05,3.17,g,2.50,0.0,g,0.00
"Fish, cusk, cooked, dry heat",95.0,1.0 fillet,24.35,g,23.13,0.88,g,0.84,0.0,g,0.00
"Fish, cusk, raw",122.0,1.0 fillet,18.99,g,23.17,0.69,g,0.84,0.0,g,0.00
"Fish, drum, freshwater, cooked, dry heat",85.0,3.0 oz,22.49,g,19.12,6.32,g,5.37,0.0,g,0.00
"Fish, drum, freshwater, raw",85.0,3.0 oz,17.54,g,14.91,4.93,g,4.19,0.0,g,0.00
"Fish, eel, mixed species, cooked, dry heat",28.35,"1.0 oz, boneless",23.65,g,6.70,14.95,g,4.24,0.0,g,0.00
"Fish, eel, mixed species, raw",85.0,3.0 oz,18.44,g,15.67,11.66,g,9.91,0.0,g,0.00
"Fish, fish sticks, frozen, prepared",57.0,"1.0 piece (4"" x 2"" x 1/2"")",11.01,g,6.28,16.23,g,9.25,21.66,g,12.35
"Fish, flatfish (flounder and sole species), cooked, dry heat",127.0,1.0 fillet,15.24,g,19.35,2.37,g,3.01,0.0,g,0.00
"Fish, flatfish (flounder and sole species), raw",28.35,"1.0 oz, boneless",12.41,g,3.52,1.93,g,0.55,0.0,g,0.00
"Fish, gefiltefish, commercial, sweet recipe",42.0,1.0 piece,9.07,g,3.81,1.73,g,0.73,7.41,g,3.11
"Fish, grouper, mixed species, cooked, dry heat",85.0,3.0 oz,24.84,g,21.11,1.3,g,1.10,0.0,g,0.00
"Fish, grouper, mixed species, raw",85.0,3.0 oz,19.38,g,16.47,1.02,g,0.87,0.0,g,0.00
"Fish, haddock, cooked, dry heat",150.0,1.0 fillet,19.99,g,29.98,0.55,g,0.82,0.0,g,0.00
"Fish, haddock, raw",85.0,3.0 oz,16.32,g,13.87,0.45,g,0.38,0.0,g,0.00
"Fish, haddock, smoked",28.35,"1.0 oz, boneless",25.23,g,7.15,0.96,g,0.27,0.0,g,0.00
"Fish, halibut, Atlantic and Pacific, cooked, dry heat",85.0,3.0 oz,22.54,g,19.16,1.61,g,1.37,0.0,g,0.00
"Fish, halibut, Atlantic and Pacific, raw",85.0,3.0 oz,18.56,g,15.78,1.33,g,1.13,0.0,g,0.00
"Fish, halibut, greenland, cooked, dry heat",85.0,3.0 oz,18.42,g,15.66,17.74,g,15.08,0.0,g,0.00
"Fish, halibut, Greenland, raw",85.0,3.0 oz,14.37,g,12.21,13.84,g,11.76,0.0,g,0.00
"Fish, herring, Atlantic, cooked, dry heat",143.0,1.0 fillet,23.03,g,32.93,11.59,g,16.57,0.0,g,0.00
"Fish, herring, Atlantic, kippered",28.35,"1.0 oz, boneless",24.58,g,6.97,12.37,g,3.51,0.0,g,0.00
"Fish, herring, Atlantic, pickled",140.0,1.0 cup,14.19,g,19.87,18.0,g,25.20,9.64,g,13.50
"Fish, herring, Atlantic, raw",28.35,"1.0 oz, boneless",17.96,g,5.09,9.04,g,2.56,0.0,g,0.00
"Fish, herring, Pacific, cooked, dry heat",144.0,1.0 fillet,21.01,g,30.25,17.79,g,25.62,0.0,g,0.00
"Fish, herring, Pacific, raw",85.0,3.0 oz,16.39,g,13.93,13.88,g,11.80,0.0,g,0.00
"Fish, ling, cooked, dry heat",85.0,3.0 oz,24.35,g,20.70,0.82,g,0.70,0.0,g,0.00
"Fish, ling, raw",85.0,3.0 oz,18.99,g,16.14,0.64,g,0.54,0.0,g,0.00
"Fish, lingcod, cooked, dry heat",85.0,3.0 oz,22.64,g,19.24,1.36,g,1.16,0.0,g,0.00
"Fish, lingcod, raw",85.0,3.0 oz,17.66,g,15.01,1.06,g,0.90,0.0,g,0.00
"Fish, mackerel, Atlantic, cooked, dry heat",88.0,1.0 fillet,23.85,g,20.99,17.81,g,15.67,0.0,g,0.00
"Fish, mackerel, Atlantic, raw",112.0,1.0 fillet,18.6,g,20.83,13.89,g,15.56,0.0,g,0.00
"Fish, mackerel, jack, canned, drained solids",28.35,"1.0 oz, boneless",23.19,g,6.57,6.3,g,1.79,0.0,g,0.00
"Fish, mackerel, king, cooked, dry heat",85.0,3.0 oz,26.0,g,22.10,2.56,g,2.18,0.0,g,0.00
"Fish, mackerel, king, raw",85.0,3.0 oz,20.28,g,17.24,2.0,g,1.70,0.0,g,0.00
"Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat",28.35,"1.0 oz, boneless",25.73,g,7.29,10.12,g,2.87,0.0,g,0.00
"Fish, mackerel, Pacific and jack, mixed species, raw",85.0,3.0 oz,20.07,g,17.06,7.89,g,6.71,0.0,g,0.00
"Fish, mackerel, salted",80.0,"1.0 piece (5-1/2"" x 1-1/2"" x 1/2"")",18.5,g,14.80,25.1,g,20.08,0.0,g,0.00
"Fish, mackerel, spanish, cooked, dry heat",146.0,1.0 fillet,23.59,g,34.44,6.32,g,9.23,0.0,g,0.00
"Fish, mackerel, spanish, raw",85.0,3.0 oz,19.29,g,16.40,6.3,g,5.36,0.0,g,0.00
"Fish, mahimahi, cooked, dry heat",85.0,3.0 oz,23.72,g,20.16,0.9,g,0.76,0.0,g,0.00
"Fish, mahimahi, raw",85.0,3.0 oz,18.5,g,15.72,0.7,g,0.60,0.0,g,0.00
"Fish, milkfish, cooked, dry heat",85.0,3.0 oz,26.32,g,22.37,8.63,g,7.34,0.0,g,0.00
"Fish, milkfish, raw",85.0,3.0 oz,20.53,g,17.45,6.73,g,5.72,0.0,g,0.00
"Fish, monkfish, cooked, dry heat",85.0,3.0 oz,18.56,g,15.78,1.95,g,1.66,0.0,g,0.00
"Fish, monkfish, raw",85.0,3.0 oz,14.48,g,12.31,1.52,g,1.29,0.0,g,0.00
"Fish, mullet, striped, cooked, dry heat",93.0,1.0 fillet,24.81,g,23.07,4.86,g,4.52,0.0,g,0.00
"Fish, mullet, striped, raw",28.35,1.0 oz,19.35,g,5.49,3.79,g,1.07,0.0,g,0.00
"Fish, ocean perch, Atlantic, cooked, dry heat",50.0,1.0 fillet,18.51,g,9.26,1.87,g,0.94,0.0,g,0.00
"Fish, ocean perch, Atlantic, raw",28.35,"1.0 oz, boneless",15.31,g,4.34,1.54,g,0.44,0.0,g,0.00
"Fish, perch, mixed species, cooked, dry heat",46.0,1.0 fillet,24.86,g,11.44,1.18,g,0.54,0.0,g,0.00
"Fish, perch, mixed species, raw",60.0,1.0 fillet,19.39,g,11.63,0.92,g,0.55,0.0,g,0.00
"Fish, pike, northern, cooked, dry heat",85.0,3.0 oz,24.69,g,20.99,0.88,g,0.75,0.0,g,0.00
"Fish, pike, northern, raw",85.0,3.0 oz,19.26,g,16.37,0.69,g,0.59,0.0,g,0.00
"Fish, pike, walleye, cooked, dry heat",124.0,1.0 fillet,24.54,g,30.43,1.56,g,1.93,0.0,g,0.00
"Fish, pike, walleye, raw",85.0,3.0 oz,19.14,g,16.27,1.22,g,1.04,0.0,g,0.00
"Fish, pollock, Alaska, cooked (not previously frozen)",85.0,3.0 oz,19.42,g,16.51,0.26,g,0.22,0.0,g,0.00
"Fish, pollock, Alaska, cooked, dry heat (may have been previously frozen)",60.0,1.0 fillet,23.48,g,14.09,1.18,g,0.71,0.0,g,0.00
"Fish, pollock, Alaska, raw (may have been previously frozen)",77.0,1.0 fillet,12.19,g,9.39,0.41,g,0.32,0.0,g,0.00
"Fish, pollock, Alaska, raw (not previously frozen)",85.0,3.0 oz,17.17,g,14.59,0.19,g,0.16,0.0,g,0.00
"Fish, pollock, Atlantic, cooked, dry heat",85.0,3.0 oz,24.92,g,21.18,1.26,g,1.07,0.0,g,0.00
"Fish, pollock, Atlantic, raw",85.0,3.0 oz,19.44,g,16.52,0.98,g,0.83,0.0,g,0.00
"Fish, pompano, florida, cooked, dry heat",88.0,1.0 fillet,23.69,g,20.85,12.14,g,10.68,0.0,g,0.00
"Fish, pompano, florida, raw",28.35,"1.0 oz, boneless",18.48,g,5.24,9.47,g,2.68,0.0,g,0.00
"Fish, pout, ocean, cooked, dry heat",137.0,0.5 fillet,21.33,g,29.22,1.17,g,1.60,0.0,g,0.00
"Fish, pout, ocean, raw",85.0,3.0 oz,16.64,g,14.14,0.91,g,0.77,0.0,g,0.00
"Fish, rockfish, Pacific, mixed species, cooked, dry heat",149.0,1.0 fillet,22.23,g,33.12,1.62,g,2.41,0.0,g,0.00
"Fish, rockfish, Pacific, mixed species, raw",85.0,3.0 oz,18.36,g,15.61,1.34,g,1.14,0.0,g,0.00
"Fish, roe, mixed species, cooked, dry heat",28.35,1.0 oz,28.62,g,8.11,8.23,g,2.33,1.92,g,0.54
"Fish, roe, mixed species, raw",14.0,1.0 tbsp,22.32,g,3.12,6.42,g,0.90,1.5,g,0.21
"Fish, roughy, orange, cooked, dry heat",85.0,3.0 oz,22.64,g,19.24,0.9,g,0.76,0.0,g,0.00
"Fish, roughy, orange, raw",85.0,3.0 oz,16.41,g,13.95,0.7,g,0.60,0.0,g,0.00
"Fish, sablefish, cooked, dry heat",85.0,3.0 oz,17.19,g,14.61,19.62,g,16.68,0.0,g,0.00
"Fish, sablefish, raw",85.0,3.0 oz,13.41,g,11.40,15.3,g,13.00,0.0,g,0.00
"Fish, sablefish, smoked",28.35,1.0 oz,17.65,g,5.00,20.14,g,5.71,0.0,g,0.00
"Fish, salmon, Atlantic, farmed, cooked, dry heat",85.0,3.0 oz,22.1,g,18.79,12.35,g,10.50,0.0,g,0.00
"Fish, salmon, Atlantic, farmed, raw",85.0,3.0 oz,20.42,g,17.36,13.42,g,11.41,0.0,g,0.00
"Fish, salmon, Atlantic, wild, cooked, dry heat",85.0,3.0 oz,25.44,g,21.62,8.13,g,6.91,0.0,g,0.00
"Fish, salmon, Atlantic, wild, raw",85.0,3.0 oz,19.84,g,16.86,6.34,g,5.39,0.0,g,0.00
"Fish, salmon, chinook, cooked, dry heat",85.0,3.0 oz,25.72,g,21.86,13.38,g,11.37,0.0,g,0.00
"Fish, salmon, chinook, raw",85.0,3.0 oz,19.93,g,16.94,10.43,g,8.87,0.0,g,0.00
"Fish, salmon, chinook, smoked",28.35,"1.0 oz, boneless",18.28,g,5.18,4.32,g,1.22,0.0,g,0.00
"Fish, salmon, chinook, smoked, (lox), regular",28.35,1.0 oz,18.28,g,5.18,4.32,g,1.22,0.0,g,0.00
"Fish, salmon, chum, canned, drained solids with bone",85.0,3.0 oz,21.43,g,18.22,5.5,g,4.68,0.0,g,0.00
"Fish, salmon, chum, canned, without salt, drained solids with bone",85.0,3.0 oz,21.43,g,18.22,5.5,g,4.68,0.0,g,0.00
"Fish, salmon, chum, cooked, dry heat",85.0,3.0 oz,25.82,g,21.95,4.83,g,4.11,0.0,g,0.00
"Fish, salmon, chum, raw",85.0,3.0 oz,20.14,g,17.12,3.77,g,3.20,0.0,g,0.00
"Fish, salmon, coho, farmed, cooked, dry heat",143.0,1.0 fillet,24.3,g,34.75,8.23,g,11.77,0.0,g,0.00
"Fish, salmon, coho, farmed, raw",85.0,3.0 oz,21.27,g,18.08,7.67,g,6.52,0.0,g,0.00
"Fish, salmon, coho, wild, cooked, dry heat",85.0,3.0 oz,23.45,g,19.93,4.3,g,3.66,0.0,g,0.00
"Fish, salmon, coho, wild, cooked, moist heat",85.0,3.0 oz,27.36,g,23.26,7.5,g,6.38,0.0,g,0.00
"Fish, salmon, coho, wild, raw",85.0,3.0 oz,21.62,g,18.38,5.93,g,5.04,0.0,g,0.00
"Fish, salmon, pink, canned, drained solids",85.0,3.0 oz,23.1,g,19.64,5.02,g,4.27,0.0,g,0.00
"Fish, Salmon, pink, canned, drained solids, without skin and bones",85.0,3.0 oz,24.62,g,20.93,4.21,g,3.58,0.0,g,0.00
"Fish, salmon, pink, canned, total can contents",85.0,3.0 oz,19.68,g,16.73,4.97,g,4.22,0.0,g,0.00
"Fish, salmon, pink, canned, without salt, solids with bone and liquid",85.0,3.0 oz,19.78,g,16.81,6.05,g,5.14,0.0,g,0.00
"Fish, salmon, pink, cooked, dry heat",85.0,3.0 oz,24.58,g,20.89,5.28,g,4.49,0.0,g,0.00
"Fish, salmon, pink, raw",85.0,3.0 oz,20.5,g,17.42,4.4,g,3.74,0.0,g,0.00
"Fish, salmon, sockeye, canned, drained solids",85.0,3.0 oz,23.59,g,20.05,7.39,g,6.28,0.0,g,0.00
"Fish, salmon, sockeye, canned, without salt, drained solids with bone",85.0,3.0 oz,20.47,g,17.40,7.31,g,6.21,0.0,g,0.00
"Fish, salmon, sockeye, cooked, dry heat",85.0,3.0 oz,26.48,g,22.51,5.57,g,4.73,0.0,g,0.00
"Fish, salmon, sockeye, raw",28.35,"1.0 oz, boneless",22.25,g,6.31,4.69,g,1.33,0.0,g,0.00
"Fish, sardine, Atlantic, canned in oil, drained solids with bone",149.0,"1.0 cup, drained",24.62,g,36.68,11.45,g,17.06,0.0,g,0.00
"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",89.0,1.0 cup,20.86,g,18.57,10.45,g,9.30,0.54,g,0.48
"Fish, scup, cooked, dry heat",50.0,1.0 fillet,24.21,g,12.10,3.5,g,1.75,0.0,g,0.00
"Fish, scup, raw",85.0,3.0 oz,18.88,g,16.05,2.73,g,2.32,0.0,g,0.00
"Fish, sea bass, mixed species, cooked, dry heat",101.0,1.0 fillet,23.63,g,23.87,2.56,g,2.59,0.0,g,0.00
"Fish, sea bass, mixed species, raw",129.0,1.0 fillet,18.43,g,23.77,2.0,g,2.58,0.0,g,0.00
"Fish, seatrout, mixed species, cooked, dry heat",85.0,3.0 oz,21.46,g,18.24,4.63,g,3.94,0.0,g,0.00
"Fish, seatrout, mixed species, raw",85.0,3.0 oz,16.74,g,14.23,3.61,g,3.07,0.0,g,0.00
"Fish, shad, american, cooked, dry heat",144.0,1.0 fillet,21.71,g,31.26,17.65,g,25.42,0.0,g,0.00
"Fish, shad, american, raw",85.0,3.0 oz,16.93,g,14.39,13.77,g,11.70,0.0,g,0.00
"Fish, shark, mixed species, cooked, batter-dipped and fried",85.0,3.0 oz,18.62,g,15.83,13.82,g,11.75,6.39,g,5.43
"Fish, shark, mixed species, raw",85.0,3.0 oz,20.98,g,17.83,4.51,g,3.83,0.0,g,0.00
"Fish, sheepshead, cooked, dry heat",85.0,3.0 oz,26.02,g,22.12,1.63,g,1.39,0.0,g,0.00
"Fish, sheepshead, raw",85.0,3.0 oz,20.21,g,17.18,2.41,g,2.05,0.0,g,0.00
"Fish, smelt, rainbow, cooked, dry heat",85.0,3.0 oz,22.6,g,19.21,3.1,g,2.64,0.0,g,0.00
"Fish, smelt, rainbow, raw",85.0,3.0 oz,17.63,g,14.99,2.42,g,2.06,0.0,g,0.00
"Fish, snapper, mixed species, cooked, dry heat",85.0,3.0 oz,26.3,g,22.36,1.72,g,1.46,0.0,g,0.00
"Fish, snapper, mixed species, raw",85.0,3.0 oz,20.51,g,17.43,1.34,g,1.14,0.0,g,0.00
"Fish, spot, cooked, dry heat",50.0,1.0 fillet,23.73,g,11.86,6.28,g,3.14,0.0,g,0.00
"Fish, spot, raw",64.0,1.0 fillet,18.51,g,11.85,4.9,g,3.14,0.0,g,0.00
"Fish, sturgeon, mixed species, cooked, dry heat",85.0,3.0 oz,20.7,g,17.60,5.18,g,4.40,0.0,g,0.00
"Fish, sturgeon, mixed species, raw",85.0,3.0 oz,16.14,g,13.72,4.04,g,3.43,0.0,g,0.00
"Fish, sturgeon, mixed species, smoked",28.35,1.0 oz,31.2,g,8.85,4.4,g,1.25,0.0,g,0.00
"Fish, sucker, white, cooked, dry heat",124.0,1.0 fillet,21.49,g,26.65,2.97,g,3.68,0.0,g,0.00
"Fish, sucker, white, raw",85.0,3.0 oz,16.76,g,14.25,2.32,g,1.97,0.0,g,0.00
"Fish, sunfish, pumpkin seed, cooked, dry heat",37.0,1.0 fillet,24.87,g,9.20,0.9,g,0.33,0.0,g,0.00
"Fish, sunfish, pumpkin seed, raw",48.0,1.0 fillet,19.4,g,9.31,0.7,g,0.34,0.0,g,0.00
"Fish, surimi",28.35,1.0 oz,15.18,g,4.30,0.9,g,0.26,6.85,g,1.94
"Fish, swordfish, cooked, dry heat",85.0,3.0 oz,23.45,g,19.93,7.93,g,6.74,0.0,g,0.00
"Fish, swordfish, raw",85.0,3.0 oz,19.66,g,16.71,6.65,g,5.65,0.0,g,0.00
"Fish, tilapia, cooked, dry heat",87.0,1.0 fillet,26.15,g,22.75,2.65,g,2.31,0.0,g,0.00
"Fish, tilapia, raw",116.0,1.0 fillet,20.08,g,23.29,1.7,g,1.97,0.0,g,0.00
"Fish, tilefish, cooked, dry heat",150.0,0.5 fillet,24.49,g,36.73,4.69,g,7.04,0.0,g,0.00
"Fish, tilefish, raw",85.0,3.0 oz,17.5,g,14.88,2.31,g,1.96,0.0,g,0.00
"Fish, trout, brook, raw, New York State",149.0,1.0 filet,21.23,g,31.63,2.73,g,4.07,0.0,g,0.00
"Fish, trout, mixed species, cooked, dry heat",62.0,1.0 fillet,26.63,g,16.51,8.47,g,5.25,0.0,g,0.00
"Fish, trout, mixed species, raw",79.0,1.0 fillet,20.77,g,16.41,6.61,g,5.22,0.0,g,0.00
"Fish, trout, rainbow, farmed, cooked, dry heat",71.0,1.0 fillet,23.8,g,16.90,7.38,g,5.24,0.0,g,0.00
"Fish, trout, rainbow, farmed, raw",79.0,1.0 fillet,19.94,g,15.75,6.18,g,4.88,0.0,g,0.00
"Fish, trout, rainbow, wild, cooked, dry heat",143.0,1.0 fillet,22.92,g,32.78,5.82,g,8.32,0.0,g,0.00
"Fish, trout, rainbow, wild, raw",85.0,3.0 oz,20.48,g,17.41,3.46,g,2.94,0.0,g,0.00
"Fish, tuna salad",85.0,3.0 oz,16.04,g,13.63,9.26,g,7.87,9.41,g,8.00
"Fish, tuna, fresh, bluefin, cooked, dry heat",85.0,3.0 oz,29.91,g,25.42,6.28,g,5.34,0.0,g,0.00
"Fish, tuna, fresh, bluefin, raw",85.0,3.0 oz,23.33,g,19.83,4.9,g,4.17,0.0,g,0.00
"Fish, tuna, fresh, skipjack, raw",85.0,3.0 oz,22.0,g,18.70,1.01,g,0.86,0.0,g,0.00
"Fish, tuna, fresh, yellowfin, raw",28.35,"1.0 oz, boneless",24.4,g,6.92,0.49,g,0.14,0.0,g,0.00
"Fish, tuna, light, canned in oil, drained solids",146.0,"1.0 cup, solid or chunks",29.13,g,42.53,8.21,g,11.99,0.0,g,0.00
"Fish, tuna, light, canned in oil, without salt, drained solids",85.0,3.0 oz,29.13,g,24.76,8.21,g,6.98,0.0,g,0.00
"Fish, tuna, light, canned in water, drained solids",28.35,1.0 oz,19.44,g,5.51,0.96,g,0.27,0.0,g,0.00
"Fish, tuna, light, canned in water, without salt, drained solids",85.0,3.0 oz,25.51,g,21.68,0.82,g,0.70,0.0,g,0.00
"Fish, tuna, skipjack, fresh, cooked, dry heat",85.0,3.0 oz,28.21,g,23.98,1.29,g,1.10,0.0,g,0.00
"Fish, tuna, white, canned in oil, drained solids",85.0,3.0 oz,26.53,g,22.55,8.08,g,6.87,0.0,g,0.00
"Fish, tuna, white, canned in oil, without salt, drained solids",85.0,3.0 oz,26.53,g,22.55,8.08,g,6.87,0.0,g,0.00
"Fish, tuna, white, canned in water, drained solids",85.0,3.0 oz,23.62,g,20.08,2.97,g,2.52,0.0,g,0.00
"Fish, tuna, white, canned in water, without salt, drained solids",85.0,3.0 oz,23.62,g,20.08,2.97,g,2.52,0.0,g,0.00
"Fish, tuna, yellowfin, fresh, cooked, dry heat",85.0,3.0 oz,29.15,g,24.78,0.59,g,0.50,0.0,g,0.00
"Fish, turbot, european, cooked, dry heat",85.0,3.0 oz,20.58,g,17.49,3.78,g,3.21,0.0,g,0.00
"Fish, turbot, european, raw",85.0,3.0 oz,16.05,g,13.64,2.95,g,2.51,0.0,g,0.00
"Fish, whitefish, mixed species, cooked, dry heat",85.0,3.0 oz,24.47,g,20.80,7.51,g,6.38,0.0,g,0.00
"Fish, whitefish, mixed species, raw",85.0,3.0 oz,19.09,g,16.23,5.86,g,4.98,0.0,g,0.00
"Fish, whitefish, mixed species, smoked",136.0,"1.0 cup, cooked",23.4,g,31.82,0.93,g,1.26,0.0,g,0.00
"Fish, whiting, mixed species, cooked, dry heat",72.0,1.0 fillet,23.48,g,16.91,1.69,g,1.22,0.0,g,0.00
"Fish, whiting, mixed species, raw",92.0,1.0 fillet,18.31,g,16.85,1.31,g,1.21,0.0,g,0.00
"Fish, wolffish, Atlantic, cooked, dry heat",119.0,0.5 fillet,22.44,g,26.70,3.06,g,3.64,0.0,g,0.00
"Fish, wolffish, Atlantic, raw",85.0,3.0 oz,17.5,g,14.88,2.39,g,2.03,0.0,g,0.00
"Fish, yellowtail, mixed species, cooked, dry heat",146.0,0.5 fillet,29.67,g,43.32,6.72,g,9.81,0.0,g,0.00
"Fish, yellowtail, mixed species, raw",85.0,3.0 oz,23.14,g,19.67,5.24,g,4.45,0.0,g,0.00
"Flan, caramel custard, dry mix",85.0,1.0 package (3 oz),0.0,g,0.00,--,g,--,91.6,g,77.86
"Fluid replacement, electrolyte solution (include PEDIALYTE)",31.2,1.0 fl oz,0.0,g,0.00,--,g,--,2.45,g,0.76
"Focaccia, Italian flatbread, plain",57.0,1.0 piece,8.77,g,5.00,7.89,g,4.50,35.82,g,20.42
"Formulated bar, high fiber, chewy, oats and chocolate",40.0,1.0 bar,5.0,g,2.00,10.0,g,4.00,69.78,g,27.91
"Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE",48.0,1.0 bar,20.75,g,9.96,12.19,g,5.85,52.49,g,25.20
"Formulated bar, MARS SNACKFOOD US, COCOAVIA, Chocolate Almond Snack Bar",22.0,1.0 bar,7.72,g,1.70,14.19,g,3.12,51.68,g,11.37
"Formulated bar, MARS SNACKFOOD US, COCOAVIA, Chocolate Blueberry Snack Bar",22.0,1.0 bar,6.21,g,1.37,9.27,g,2.04,57.87,g,12.73
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Chewy Chocolate Peanut Bar",55.0,1.0 bar,24.29,g,13.36,13.12,g,7.22,47.24,g,25.98
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Double Chocolate Nut Bar",55.0,1.0 bar,22.35,g,12.29,8.99,g,4.94,52.47,g,28.86
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Energy Bar, all flavors",55.0,1.0 bar,21.91,g,12.05,10.79,g,5.93,50.3,g,27.66
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Honey Nut Oat Bar",55.0,1.0 bar,22.5,g,12.38,7.87,g,4.33,54.3,g,29.86
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON MULTIGRAIN CRUNCH BAR",55.0,1.0 bar,18.49,g,10.17,13.18,g,7.25,57.27,g,31.50
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush",80.0,1.0 bar,25.0,g,20.00,12.5,g,10.00,50.5,g,40.40
"Formulated bar, POWER BAR, chocolate",68.0,1.0 bar,14.15,g,9.62,3.11,g,2.11,69.63,g,47.35
